AuthorID,Author,Date,Content,Attachments,Reactions,Channel_name,Attachment_type,ReactionsCount,Content_Length,dt
8.249E+17,Rupam#3277,2021-10-08 23:01:00,For that you have to learn about time management matrix😛,null,👀 (4),productivity,null,4,56,2021-10-08
8.16297E+17,Srishti#0907,2021-10-08 23:01:00,What happens if you over manage?,null,null,productivity,null,0,32,2021-10-08
8.96086E+17,abhishek_explorin#5153,2021-10-08 23:01:00,there won't be much difference between machine and human,null,"❤️ (3),😲 (3),🔥 (3)",productivity,null,9,56,2021-10-08
8.11144E+17,Explorin#4311,2021-10-08 23:01:00,"What is Design Thinking, @Rupam ?",null,null,design,null,0,33,2021-10-08
8.16297E+17,Srishti#0907,2021-10-08 23:02:00,Can someone learn visualization @Mk ?,null,null,design,null,0,37,2021-10-08
8.11144E+17,Explorin#4311,2021-10-08 23:02:00,ohh! I am curious now. What is the matrix all about?,null,null,productivity,null,0,52,2021-10-08
8.11144E+17,Explorin#4311,2021-10-08 23:03:00,What is the difference between http and https?,null,null,software-development,null,0,46,2021-10-08
8.249E+17,Rupam#3277,2021-10-08 23:03:00,https://youtu.be/tT89OZ7TNwc,null,"❤️ (1),🤯 (3),🙃 (3)",productivity,null,7,28,2021-10-08
8.68782E+17,jai2201#7481,2021-10-08 23:06:00,"https is basically - http + encryption or can also be called http over SSL(security socket layer)

Https establishes secured encryption connection between user , his request and the response given

Whereas http does not.",null,"👍 (2),👌 (1)",software-development,null,3,220,2021-10-08
7.31604E+17,Shlok#5529,2021-10-08 23:07:00,"Let it hurt, let it heal, let it go 😌",null,"🙇 (1),🤯 (3)",productivity,null,4,37,2021-10-08
8.96086E+17,abhishek_explorin#5153,2021-10-08 23:08:00,Amen!!,null,"❤️ (1),💛 (1)",productivity,null,2,6,2021-10-08
8.68782E+17,jai2201#7481,2021-10-08 23:08:00,"For having a more deep understanding , you may refer to -

https://www.venafi.com/blog/what-are-differences-between-http-https-0",null,"💯 (1),❤️ (1)",software-development,null,2,128,2021-10-08
8.95643E+17,Mk#4262,2021-10-08 23:16:00,"Yeah, I think everyone have stories to tell, and storytelling involves visualisation",null,"🤩 (1),😮 (1)",design,null,2,84,2021-10-08
8.249E+17,Rupam#3277,2021-10-09 01:08:00,"I see design thinking as a creative problem-solving process. It starts with understanding the problem, exploring the solutions, and finally implementing the best possible solution.",null,😍 (2),design,null,2,180,2021-10-09
8.249E+17,Rupam#3277,2021-10-09 01:10:00,,https://cdn.discordapp.com/attachments/894962555536179220/896119938517966888/1bd5b905-24ef-4376-aea4-31b73e3f83f1.png,null,design,image,0,,2021-10-09
8.249E+17,Rupam#3277,2021-10-09 01:11:00,@Explorin You can refer to this for more detailed explanation.,null,null,design,null,0,62,2021-10-09
8.16297E+17,Srishti#0907,2021-10-09 01:13:00,Thanks for sharing @Rupam !,null,❤️ (3),design,null,3,27,2021-10-09
8.11144E+17,Explorin#4311,2021-10-09 22:47:00,"Meditation Done. 

Learning: Miracles happen when you have faith in the silence.",null,"💯 (3),❤️ (1)",productivity,null,4,80,2021-10-09
8.11144E+17,Explorin#4311,2021-10-09 22:48:00,I also wanted to know the role of visualization in Creativity.,null,null,design,null,0,62,2021-10-09
8.11144E+17,Explorin#4311,2021-10-09 22:48:00,Thanks. It helped.,null,null,design,null,0,18,2021-10-09
8.61867E+17,himanshu#6252,2021-10-10 01:52:00,"Workout and meditation done for today! 
I was so tired to go to gym but I pushed myself and I went there! It felt amazing! 🎉🎉",null,😍 (4),productivity,null,4,125,2021-10-10
8.11144E+17,Explorin#4311,2021-10-10 12:40:00,good to hear that!,null,🎉 (1),productivity,null,1,18,2021-10-10
8.16297E+17,Srishti#0907,2021-10-11 02:29:00,"Reading Streak: Day 1

Finished one chapter of The Almanack of Naval Ravikant. 

Quote of the day: 40-Hour work weeks are a relic of the industrial age. Knowledge workers function like athletes - train and sprint then rest and reassess.",null,"👀 (1),😀 (3)",productivity,null,4,236,2021-10-11
8.11144E+17,Explorin#4311,2021-10-11 03:18:00,"Meditation and Workout done.

Learning: Keep doing even on the days when you are not in your zone",null,👍 (1),productivity,null,1,97,2021-10-11
7.47173E+17,Kishlay#5029,2021-10-11 09:48:00,Meditation and Workout done.,null,🥳 (1),productivity,null,1,28,2021-10-11
8.11144E+17,Explorin#4311,2021-10-11 16:27:00,what do you do in the workout?,null,null,productivity,null,0,30,2021-10-11
7.07255E+17,radhajayaraman#0544,2021-10-11 16:29:00,Spent time with my guitar :),null,😍 (2),productivity,null,2,28,2021-10-11
8.68782E+17,jai2201#7481,2021-10-11 16:30:00,"Workout Done!
Made a new PR 😌",null,🥳 (1),productivity,null,1,29,2021-10-11
7.47173E+17,Kishlay#5029,2021-10-11 18:19:00,"Jogging,Push ups , Sit ups and streaching.",null,💯 (1),productivity,null,1,42,2021-10-11
8.16297E+17,Srishti#0907,2021-10-12 01:12:00,"Reading streak: Day 2

Started a new audiobook - The Lost Apothecary, based in London with a hint of magic and mystery!",null,💯 (2),productivity,null,2,119,2021-10-12
8.11144E+17,Explorin#4311,2021-10-13 00:28:00,"Day 3 - Meditation and workout 

Had a beautiful day",null,💯 (2),productivity,null,2,52,2021-10-13
8.16297E+17,Srishti#0907,2021-10-13 02:10:00,"Reading streak: Day 3

Read a few pages of ""A Woman in White""",null,null,productivity,null,0,61,2021-10-13
8.68782E+17,jai2201#7481,2021-10-13 02:11:00,"Workout - completed!

Had a great day for mind, wrote and solved logics",null,"🥳 (1),🥰 (1)",productivity,null,2,71,2021-10-13
7.56779E+17,rashwal#0936,2021-10-13 02:16:00,"Reading- done(read 30pages of Stillhouse lake)
Gym- done
Writing- done(worked on some content, yet to work on something creative)",null,😍 (3),productivity,null,3,129,2021-10-13
7.47173E+17,Kishlay#5029,2021-10-13 13:30:00,Workout done,null,🥳 (1),productivity,null,1,12,2021-10-13
8.16297E+17,Srishti#0907,2021-10-14 00:07:00,"Reading streak: Day 4

Back to listening to a few chapters of The Lost Apothecary. An interesting quote:

""It felt as though the Universe, in her strange and nonsensical way meant to reach out to me, to remind me if the enthusiasm I once had... If only I could look beneath the dirt that had accumulated over time""",null,null,productivity,null,0,314,2021-10-14
8.16297E+17,Srishti#0907,2021-10-15 01:32:00,"Reading streak: Day 5

Finished a chapter of the Almanack of Naval Ravikant. He touches almost every topic from startups to studies to passion to health to acceptance. What a wealth of information!",null,💯 (4),productivity,null,4,197,2021-10-15
7.07255E+17,radhajayaraman#0544,2021-10-15 01:36:00,Guitar streak: day1,null,❤️ (2),productivity,null,2,19,2021-10-15
8.11144E+17,Explorin#4311,2021-10-15 16:14:00,"Meditation and workout done!

Excited for the new beginnings ✨! I'm gonna have one of the most productive days of my life, i.e gonna have a day full of love",null,😍 (2),productivity,null,2,156,2021-10-15
8.249E+17,Rupam#3277,2021-10-15 22:10:00,"End sem prep: day 1 done
Feeling really proud😌",null,"🤯 (3),😇 (2),🥳 (1)",productivity,null,6,46,2021-10-15
8.16297E+17,Srishti#0907,2021-10-15 22:12:00,Dedication 🙏,null,😛 (2),productivity,null,2,12,2021-10-15
8.16297E+17,Srishti#0907,2021-10-16 01:00:00,"Reading streak: Day 6

Continued listening to the Almanack of Naval Ravikant, a chapter on Acceptance. 

He suggests that the best way to respond to any situation is to think - what's the benefit here? For eg: He got late for a meeting and so his benefits were to walk a little longer in the nature or to avoid some more time in that boring meeting. After a while, the brain automatically looks for benefits instead of losses",null,😍 (6),productivity,null,6,425,2021-10-16
8.61867E+17,himanshu#6252,2021-10-16 01:10:00,I am on rest with my workout! Would start it again next week! 🥳,null,❤️ (4),productivity,null,4,63,2021-10-16
8.61867E+17,himanshu#6252,2021-10-16 01:10:00,This is a great insight!,null,"💯 (3),👀 (1)",productivity,null,4,24,2021-10-16
7.31604E+17,Shlok#5529,2021-10-16 02:58:00,"Today I observed and realized that satisfied life is much better than a successful life.
Satisfaction = our inner peace
Successful = third party measure

We should give our best, celebrate the process and be satisfied. Success will find us one day 🤪",null,"😯 (7),🤩 (2)",productivity,null,9,249,2021-10-16
8.61867E+17,himanshu#6252,2021-10-16 03:22:00,Indeed @Shlok! I am glad you have come to such a realisation so early in your life! ♥️🥂,null,🙇‍♂️ (1),productivity,null,1,87,2021-10-16
8.11144E+17,Explorin#4311,2021-10-16 03:23:00,🤩🤩,null,🙇‍♂️ (1),productivity,null,1,2,2021-10-16
8.11144E+17,Explorin#4311,2021-10-16 03:23:00,🥲🤫,null,null,productivity,null,0,2,2021-10-16
8.68782E+17,jai2201#7481,2021-10-16 04:17:00,"Workout done - ligaments phase over, muscles part started!

Back to light weight.",null,"😍 (3),🙇‍♂️ (1)",productivity,null,4,81,2021-10-16
8.249E+17,Rupam#3277,2021-10-16 22:04:00,"End sem prep: Day 2 done
May not be continuing the streak tomorrow
I am finding the courses really boring.. Thinking of going to campus after end sems XD",null,😛 (4),productivity,null,4,153,2021-10-16
7.07255E+17,radhajayaraman#0544,2021-10-16 22:37:00,Guitar streak. Played some really good songs.,null,😍 (4),productivity,null,4,45,2021-10-16
8.11144E+17,Explorin#4311,2021-10-16 22:38:00,"Meditation done

Having a peaceful day",null,❤️ (4),productivity,null,4,38,2021-10-16
8.11144E+17,Explorin#4311,2021-10-17 21:56:00,"Workout and Meditation done!

Learning: Controlling desires and Chasing goals will take you into the world of your dreams",null,🤩 (2),productivity,null,2,121,2021-10-17
7.60346E+17,argus#2468,2021-10-17 22:54:00,"Meditation and Exercises done !!

Getting back to routine 🧐",null,👏 (3),productivity,null,3,59,2021-10-17
8.249E+17,Rupam#3277,2021-10-18 01:01:00,"End sem prep day 3 done
Meditation done

I always thought that I will start doing meditation once I completely learn about how to do it but due to that, I was never able to start. I quitted that perfectionist mentality today and started it off finallyy🥳",null,😍 (1),productivity,null,1,253,2021-10-18
8.11144E+17,Explorin#4311,2021-10-18 01:02:00,Itti jldi end sem?,null,null,productivity,null,0,18,2021-10-18
8.249E+17,Rupam#3277,2021-10-18 01:03:00,I mean day 3 done,null,null,productivity,null,0,17,2021-10-18
7.51843E+17,rupz#8120,2021-10-18 01:35:00,And also today i read about worry tree from our platform. I liked the content so much and  found it really efficient.❤️,null,"❤️ (2),🥳 (1)",productivity,null,3,119,2021-10-18
8.16297E+17,Srishti#0907,2021-10-18 01:45:00,"Reading streak
Continued with the Almanack of Naval Ravikant. 

Learning: Try being non-judgemental and non-reactive for a few minutes. Simply observe everything that is happening without thinking of its consequences. Be present in the moment 100%

It'll help restore peace and allow the mind to calm down from the over analysing every situation.",null,❤️ (4),productivity,null,4,346,2021-10-18
7.60346E+17,argus#2468,2021-10-19 00:03:00,Meditation and exercises done 🔥,null,❤️ (3),productivity,null,3,31,2021-10-19
8.16297E+17,Srishti#0907,2021-10-19 01:41:00,"Reading streak

Took a break from non fiction and went back to my roots. Read a chapter of a Tale of Two Cities. It's so well written, you can spend a day rereading a single page!",null,"😯 (5),😍 (1)",productivity,null,6,179,2021-10-19
7.51843E+17,rupz#8120,2021-10-20 00:32:00,"Meditation done
End sem prep: day 4 done",null,"💯 (3),😍 (1)",productivity,null,4,40,2021-10-20
7.60346E+17,argus#2468,2021-10-20 01:01:00,Meditation and exercises done!,null,👍 (2),productivity,null,2,30,2021-10-20
8.16297E+17,Srishti#0907,2021-10-20 02:06:00,"Reading streak:

Read a bit of Atomic Habits today on identifying good and bad habits. 

There's a technique called Pointing and Calling. It says that if you speak out loud the task that you want to do, there are higher chances that you might do it since more senses are involved (over simplified summary)",null,🤩 (4),productivity,null,4,305,2021-10-20
8.11144E+17,Explorin#4311,2021-10-20 05:13:00,Workout done! Getting back into shape 💪,null,💯 (1),productivity,null,1,39,2021-10-20
8.16297E+17,Srishti#0907,2021-10-21 01:54:00,"Reading streak

Continued listening to the Almanack of Naval Ravikant 

Learning: Aim for more dialogue, less monologue",null,💯 (2),productivity,null,2,119,2021-10-21
8.68782E+17,jai2201#7481,2021-10-21 01:55:00,"Workout done!
Again on light weights 😌",null,❤️ (2),productivity,null,2,38,2021-10-21
8.68782E+17,jai2201#7481,2021-10-21 01:57:00,"Learned a new thing -
If you want to have a great communication , first make them comfortable with you!

If you want others to listen to you,

First start listening to them, try to understand their opinions , let them complete with their say

And then comment/reflect back to their comments.",null,"💯 (9),❤️ (3)",core-communication,null,12,291,2021-10-21
8.11144E+17,Explorin#4311,2021-10-21 17:33:00,"Meditation done

Realization: The only thing that is timeless, changeless and formless is already within your heart. The only way to awaken is to make your mind servant to your heart.",null,"💯 (1),❤️ (1)",productivity,null,2,183,2021-10-21
8.11144E+17,Explorin#4311,2021-10-21 22:16:00,Wow! Your zeal to unleash greatness is amazing beyond limits,null,❤️ (1),core-communication,null,1,60,2021-10-21
8.16297E+17,Srishti#0907,2021-10-22 01:09:00,"Reading streak

Continued reading a few paragraphs of Almanack of Naval Ravikant. 

Quote of the day: Your biggest superpower is your ability to change",null,💯 (5),productivity,null,5,151,2021-10-22
7.60346E+17,argus#2468,2021-10-23 00:18:00,Meditation and exercises done!!,null,null,productivity,null,0,31,2021-10-23
7.47173E+17,Kishlay#5029,2021-10-23 02:11:00,Meditation done !!,null,null,productivity,null,0,18,2021-10-23
8.11144E+17,Explorin#4311,2021-10-23 02:13:00,"Meditation and workout done!

Learning: The degree of your inner peace is determined by your ability to let go of thoughts",null,💯 (3),productivity,null,3,122,2021-10-23
8.61867E+17,himanshu#6252,2021-10-24 19:33:00,Hi! I am attending the Trading workshop. Please mention the books here!,null,null,finance,null,0,71,2021-10-24
8.68782E+17,jai2201#7481,2021-10-24 19:35:00,"Hey!!
I have a question regarding the brokers! What is a discount broker?
Also can someone tell me difference between HDFC and Zerodha as a broker?",null,null,finance,null,0,147,2021-10-24
7.31604E+17,Shlok#5529,2021-10-24 19:39:00,"Hi! Was bit late in joining the workshop. 

Can someone please tell me the difference between investing and trading?",null,null,finance,null,0,116,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:38:00,For Technical Analysis one can start with John Murphy. It is a great book.,null,null,finance,null,0,74,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:38:00,"Hey Prashant,
The session was very nice and I was planning to start paper money trading and you helped me do it. Thank you:)
I tried to explore the Tradingview platform. What I noticed is it doesn't limit my capital money instead limit my profit money which actually allows me to buy how much shares I want.  using this when I was facing loss, I bought a large number of shares at a low price to adjust my average which later on I sold on the whole and like this, I booked the profit of 60000000$ which is not at all possible in the practical world. 😦
Can I limit my capital money in this platform?",null,😮 (1),ask-anything,null,1,598,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:39:00,Discount broker is a stockbroker or brokerage firm that charges a reduced commission on transactions but typically does not provide investment advice or other services.,null,null,finance,null,0,168,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:40:00,As such there might be difference in the fee that they take from (hdfc and zerodha) . Apart from that from trading experience there is as such no difference.,null,null,finance,null,0,157,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:41:00,"For Example: I bought a share at 600$ and I saw that the price is moving down and it's around 450$ now. So, now I bought additional 19 shares at 450$ and now my average is 457.5$ and then I sold all the 20 shares at 500$.
This is good but in practical life, I will be having limited amount of cash. In paper-money trading, I have done this in large scale.",null,null,ask-anything,null,0,355,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:41:00,"Yes, investing means holding your investments/positions for a relatively longer period of time while in trading the holding period in generally not too long.",null,null,finance,null,0,157,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:42:00,Yes true,null,null,ask-anything,null,0,8,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:42:00,In paper trading you have been given 1 lakh dollars,null,null,ask-anything,null,0,51,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:42:00,That is the reason you can buy such large quantities,null,null,ask-anything,null,0,52,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:42:00,Sanyam,null,null,ask-anything,null,0,6,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:42:00,In personal trading you will not have this much capital.,null,null,ask-anything,null,0,56,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:43:00,For 20 shares you need 20*450$,null,null,ask-anything,null,0,30,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:43:00,Around 9000$,null,null,ask-anything,null,0,12,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:43:00,how?,null,null,ask-anything,null,0,4,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:43:00,"Sir, I have bought 100000 bitcoins each of value 60000$",null,null,ask-anything,null,0,55,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:44:00,You can take around 5x exposure,null,null,ask-anything,null,0,31,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:44:00,"Okay, that thing is also possible",null,null,ask-anything,null,0,33,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:44:00,Using derivatives,null,null,ask-anything,null,0,17,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:44:00,We have traded bitcoin future,null,null,ask-anything,null,0,29,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:44:00,And to trade future you do not require entire capital,null,null,ask-anything,null,0,53,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:44:00,You just need some margin amount,null,null,ask-anything,null,0,32,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:45:00,Using the margin amount,null,null,ask-anything,null,0,23,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:45:00,"Sorry, I didn't get this fundae",null,null,ask-anything,null,0,31,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:45:00,Go through the resources,null,null,ask-anything,null,0,24,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:45:00,On the website,null,null,ask-anything,null,0,14,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:45:00,Yes!! You will have to study about derivatives and specifically margin trading,null,null,ask-anything,null,0,78,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:45:00,Is there any sort of document to get a clear view,null,null,ask-anything,null,0,49,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:46:00,okay,null,null,ask-anything,null,0,4,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:46:00,You will get an overview. 😄,null,null,ask-anything,null,0,27,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:46:00,All the best!!,null,null,ask-anything,null,0,14,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:46:00,Thank you 🙂,null,null,ask-anything,null,0,11,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 22:46:00,Let me know if you face any issue,null,null,ask-anything,null,0,33,2021-10-24
7.59818E+17,rs sanyam#5581,2021-10-24 22:46:00,yeah sure,null,null,ask-anything,null,0,9,2021-10-24
8.16297E+17,Srishti#0907,2021-10-24 23:10:00,Thanks a lot @Prashant Jindal !,null,null,finance,null,0,31,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:31:00,It can eat up our capital,null,null,ask-anything,null,0,25,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:31:00,"Yes sir, margin is a both way sword",null,null,ask-anything,null,0,35,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:31:00,Yess,null,null,ask-anything,null,0,4,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:31:00,It can harm us also if not used wisely,null,null,ask-anything,null,0,38,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:31:00,True,null,null,ask-anything,null,0,4,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:31:00,Huge profit and huge loss,null,null,ask-anything,null,0,25,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:32:00,@Nikhil Mishra you can discuss with @rs sanyam about margin,null,null,ask-anything,null,0,59,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:32:00,Yes sir,null,null,ask-anything,null,0,7,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:32:00,🔥,null,null,ask-anything,null,0,1,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:32:00,Lets make sure everyone understands this,null,null,ask-anything,null,0,40,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:32:00,Sir have you developed a trading system of your own? Can you throw some light on how can we make one,null,null,ask-anything,null,0,100,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:33:00,Concepts remain same Nikhil,null,null,ask-anything,null,0,27,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:33:00,"Sir, I use margin in our stock market but not used this to.trade btc futures",null,null,ask-anything,null,0,76,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:34:00,Okay,null,null,ask-anything,null,0,4,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:35:00,"Also what do you think about trading as a part time job,for example being a software developer and sideways doing swing trade with a trade timeframe of weeks or months. Ig one can easily maintain to do so with good returns and less time input",null,null,ask-anything,null,0,242,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:35:00,@anuj I personally use technical analysis and use several indicators. I do not use quant/algo for personal trading. You can definitely make strategies using api’s by zerodha. You can search more about it on web.,null,null,ask-anything,null,0,211,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:36:00,@anuj yes people do that!!,null,null,ask-anything,null,0,26,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:36:00,"Yeah, I am currently working on the same.",null,null,ask-anything,null,0,41,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:36:00,"Sir, i use price action and advance chart reading and indicators for confirmation...Right now i am working on trading psychology",null,null,ask-anything,null,0,128,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:36:00,Trading psychology is the most important part Nikhil!!,null,null,ask-anything,null,0,54,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:37:00,Without maintaining good RRR we can never succeed👍,null,null,ask-anything,null,0,50,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:37:00,Yes sir true it is,null,null,ask-anything,null,0,18,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:37:00,True,null,null,ask-anything,null,0,4,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:37:00,Emotional discipline is the key,null,null,ask-anything,null,0,31,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:38:00,"Macd, ichimoku cloud and wave theories I use majorly",null,null,ask-anything,null,0,52,2021-10-24
6.9536E+17,Nikhil Mishra#2463,2021-10-24 23:38:00,I have started trusting my analysis...And seeing the results by taking low positions,null,null,ask-anything,null,0,84,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:38:00,So what indicators and candlesticks you use? Combination of moving averages RSI and candlesticks i guess,null,null,ask-anything,null,0,104,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:39:00,Keep working hard!!,null,null,ask-anything,null,0,19,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:39:00,Sir did your job at edelweiss or credit suisse helped you to achieve your personal finance goals?,null,null,ask-anything,null,0,97,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:40:00,Experience at Edelweiss helped a lot!!,null,null,ask-anything,null,0,38,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:40:00,Basiclly I am thinking to join these firms and polish my skills and then leave the firm to start trading with my own funds. Is it feasible?,null,null,ask-anything,null,0,139,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:41:00,It was a great learning experience,null,null,ask-anything,null,0,34,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:41:00,Yes it is definitely feasible,null,null,ask-anything,null,0,29,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:42:00,So what do you think will be better high paying software dev job(may be at a investment bank so you get exposure to traders as well)+ sideways personal trading vs  full time trading job + personal trading,null,null,ask-anything,null,0,204,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:46:00,"As far as I know, at any firm whatever value you produce you get paid cents for it and I am ready to take risks. 
In long term I want to use my skill to generate value for myself. What do you think?",null,null,ask-anything,null,0,198,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:47:00,If you are ready to take risk go for trading profile,null,null,ask-anything,null,0,52,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:48:00,You have time to take risk,null,null,ask-anything,null,0,26,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:48:00,As you get older you get a lot of responsibilities,null,null,ask-anything,null,0,50,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:48:00,You can take high paying job anytime,null,null,ask-anything,null,0,36,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:49:00,Generally people do not tend to take risks after marriage,null,null,ask-anything,null,0,57,2021-10-24
8.16363E+17,Prashant Jindal#5435,2021-10-24 23:50:00,You can switch to software development roles at any time if you are good in CP,null,null,ask-anything,null,0,78,2021-10-24
8.01666E+17,anuj#7534,2021-10-24 23:50:00,Untill your spouse don't earn a hefty money xD,null,null,ask-anything,null,0,46,2021-10-24
